Part Number,Part Description,Supplier,Country,Quantity in Stock,Cost per Part (USD),Time to Deliver (Hours),Calibration Status,Aircraft Type,Airline,Aircraft Number
0002-AC108,Engine 1 Turbine,Lockheed Martin,United States,18,25972,35,Unchecked,Boeing 737,Etihad,AC-062
ER-222,Landing Gear Front,BAE Systems,United States,49,17112,6,Unchecked,Bombardier CRJ,Qatar Airways,AC-023
BZ-9876,Fuel Injector,Leonardo (Finmeccanica),United States,0,7210,3,Checked,Boeing 747,Vistara,AC-088
AC-5678,Wing Flap Left,Airbus,United States,42,53820,24,Unchecked,Bombardier CRJ,Emirates,AC-076
DL-2309,Navigation System,Lockheed Martin,United States,6,31036,33,Checked,Airbus A320,Singapore Airlines,AC-024
TS-6541,Hydraulic Pump,Airbus,Italy,42,76292,23,Unchecked,Boeing 747,Singapore Airlines,AC-053
MB-8901,Electrical System Control,Northrop Grumman,United States,49,57683,19,Checked,Bombardier CRJ,Emirates,AC-036
FR-1287,Avionics Processor,Raytheon Company,United States,27,67176,25,Checked,Embraer e175,Spice Jet,AC-073
RT-4329,Spoilers Control Unit,Lockheed Martin,United States,23,18138,3,Checked,Airbus A320,Spice Jet,AC-001
LG-5478,Tail Fin Stabilizer,BAE Systems,Russia,25,80864,19,Unchecked,Boeing 777,Vistara,AC-061
HY-0987,Fuel System,Leonardo (Finmeccanica),United States,41,13795,8,Unchecked,Boeing 747,British Airways,AC-077
NV-2345,Rudder Control,Airbus,United Kingdom,20,61013,26,Unchecked,Boeing 747,Air Asia,AC-006
FL-1209,Combustor Unit,Safran,Germany,14,34418,21,Checked,ATR 72,Indigo,AC-071
EL-9876,Turbine Blade,United Technologies,France,22,81037,11,Checked,Boeing 777,Air India,AC-063
WB-8765,Nose Cone Frame,RTX Corporation,Germany,16,84589,7,Unchecked,Bombardier CRJ,Spice Jet,AC-081
0002-AC108,Engine 1 Turbine,Leonardo (Finmeccanica),Russia,20,41316,14,Checked,Boeing 747,Air Asia,AC-045
ER-222,Landing Gear Front,United Technologies,United States,46,77589,16,Checked,Bombardier CRJ,Spice Jet,AC-073
BZ-9876,Fuel Injector,United Technologies,United States,0,77905,17,Unchecked,Bombardier CRJ,Etihad,AC-095
AC-5678,Wing Flap Left,Raytheon Company,United States,30,58754,32,Unchecked,ATR 72,American Airlines,AC-085
DL-2309,Navigation System,Leonardo (Finmeccanica),United States,14,96610,18,Unchecked,Boeing 747,Emirates,AC-033
TS-6541,Hydraulic Pump,Raytheon Company,Italy,41,77258,20,Checked,Boeing 747,Air India,AC-083
MB-8901,Electrical System Control,Raytheon Company,Germany,28,48271,23,Unchecked,Boeing 747,Etihad,AC-044
FR-1287,Avionics Processor,RTX Corporation,United States,8,31195,15,Checked,ATR 72,Singapore Airlines,AC-019
RT-4329,Spoilers Control Unit,Lockheed Martin,United Kingdom,25,82787,24,Unchecked,Airbus A320,Qatar Airways,AC-024
LG-5478,Tail Fin Stabilizer,Airbus,United States,39,13483,12,Unchecked,Bombardier CRJ,American Airlines,AC-018
HY-0987,Fuel System,Boeing,United States,49,97815,26,Checked,Boeing 747,Etihad,AC-066
NV-2345,Rudder Control,Safran,United States,38,78614,22,Unchecked,ATR 72,Air Asia,AC-041
FL-1209,Combustor Unit,BAE Systems,United Kingdom,33,33339,20,Unchecked,Embraer e175,American Airlines,AC-003
EL-9876,Turbine Blade,Boeing,France,4,49981,34,Checked,Bombardier CRJ,Singapore Airlines,AC-071
